5254201,392.16,97.75,5458.30
5254207,97.75,1890.55,1486.62
5254211,2502.50,787.40,3121.85
5254217,2605.21,97.75,5458.30
5254221,3225.80,97.75,3538.93
5254227,97.75,97.75,1688.18
5254232,1085.89,1185.77,1587.31
5254238,3434.35,7676.12,3538.93
5254242,293.83,589.39,3434.35
5254248,97.75,97.75,1486.62
5254252,97.75,589.39,3329.97
5254256,9989.26,1386.14,4918.03
5254262,1285.85,1688.18,2195.61
5254268,2605.21,97.75,97.75
5254273,886.70,1386.14,2708.12
5254277,5025.64,3121.85,97.75
5254283,97.75,1789.26,4918.03
5254287,6777.89,97.75,97.75
5254293,986.19,886.70,3018.10
5254297,97.75,97.75,3959.39
5254303,293.83,97.75,6113.99
5254307,2093.72,97.75,5785.12
5254311,886.70,1185.77,4489.79
5254318,97.75,589.39,5894.52
5254322,3748.74,97.75,5458.30
5254328,2811.24,97.75,1486.62
5254332,986.19,195.69,3748.74
5254338,97.75,7450.15,1085.89
5254342,97.75,97.75,1890.55
5254348,2811.24,2708.12,195.69
5254352,97.75,1386.14,3643.73
5254356,2811.24,97.75,97.75
5254363,3225.80,1386.14,5675.96
5254367,7450.15,1486.62,2708.12
5254373,195.69,97.75,3225.80
5254377,2093.72,7001.04,1890.55
5254383,1085.89,5894.52,886.70
5254387,97.75,97.75,1789.26
5254393,97.75,97.75,3434.35
5254397,97.75,97.75,3853.95
5254402,1789.26,2297.70,97.75
5254408,97.75,97.75,688.30
5254412,787.40,1992.03,3225.80
5254418,97.75,2195.61,4276.99
5254422,195.69,97.75,4170.91
5254428,1992.03,97.75,5025.64
5254432,1185.77,1587.31,4065.04
5254438,9635.97,1185.77,2811.24
5254443,392.16,97.75,1789.26
5254449,97.75,2297.70,7001.04
5254453,1185.77,787.40,4596.53
5254457,9635.97,986.19,3225.80
5254463,392.16,97.75,2195.61
5254467,97.75,97.75,3959.39
5254473,1688.18,490.68,4383.28
5254477,3018.10,97.75,2502.50
5254483,97.75,97.75,4918.03
5254488,97.75,97.75,1890.55
5254492,1890.55,1185.77,3643.73
5254498,8016.87,97.75,3853.95
5254502,986.19,6113.99,7337.52
5254508,97.75,97.75,4810.64
5254512,195.69,97.75,3748.74
5254518,8359.79,2400.00,2195.61
5254522,97.75,1185.77,97.75
5254529,6334.38,2914.57,5458.30
5254533,688.30,688.30,4596.53
5254539,4170.91,97.75,3329.97
5254543,2195.61,97.75,97.75
5254547,7450.15,97.75,1085.89
5254553,1486.62,1486.62,3018.10
5254557,97.75,97.75,4596.53
5254563,97.75,5567.01,6666.67
5254567,9168.45,589.39,4170.91
5254574,1085.89,293.83,4065.04
5254578,1587.31,97.75,2811.24
5254584,97.75,787.40,3959.39
5254588,1185.77,97.75,2093.72
5254594,1486.62,97.75,3643.73
5254598,97.75,1992.03,3329.97
5254602,97.75,97.75,589.39
5254608,97.75,1890.55,2914.57
5254612,97.75,787.40,3121.85
5254619,9168.45,97.75,2811.24
5254623,97.75,5241.53,97.75
5254627,97.75,2502.50,2400.00
5254633,1587.31,688.30,3853.95
5254637,97.75,195.69,4065.04
5254643,886.70,97.75,2502.50
5254647,97.75,97.75,97.75
5254651,1890.55,1185.77,1688.18
5254658,97.75,97.75,2093.72
5254662,2502.50,97.75,4703.47
5254668,97.75,97.75,3018.10
5254672,1789.26,986.19,4065.04
5254678,97.75,293.83,3018.10
5254682,2297.70,1789.26,97.75
5254688,97.75,1185.77,886.70
5254692,97.75,97.75,3329.97
5254696,3538.93,97.75,2502.50
5254703,293.83,1688.18,589.39
5254707,3225.80,886.70,2811.24
5254713,1587.31,1285.85,3748.74
5254717,688.30,195.69,3434.35
5254723,4489.79,97.75,97.75
5254727,97.75,97.75,293.83
5254731,589.39,97.75,2708.12
5254737,97.75,97.75,2811.24
5254742,97.75,688.30,97.75
5254748,97.75,97.75,2914.57
5254752,2400.00,1587.31,3225.80
5254756,4170.91,6224.07,3121.85
5254762,97.75,97.75,6334.38
5254766,3018.10,97.75,3121.85
5254772,886.70,886.70,3643.73
5254776,4810.64,2093.72,2708.12
5254782,97.75,1185.77,1992.03
5254787,392.16,97.75,787.40
5254793,986.19,589.39,3121.85
5254797,97.75,97.75,3225.80
5254801,4065.04,97.75,97.75
5254807,97.75,97.75,97.75
5254811,886.70,589.39,1486.62
5254817,1386.14,3643.73,1285.85
5254821,392.16,6777.89,97.75
5254828,4170.91,97.75,886.70
5254832,1789.26,986.19,2297.70
5254836,8016.87,2093.72,1185.77
5254842,2811.24,97.75,97.75
5254846,97.75,2708.12,1386.14
5254852,1085.89,1386.14,3329.97
5254856,3643.73,97.75,2914.57
5254862,97.75,1688.18,5894.52
5254866,97.75,97.75,2195.61
5254873,1486.62,787.40,3434.35
5254877,1285.85,1789.26,3329.97
5254883,97.75,97.75,589.39
5254887,3959.39,97.75,2605.21
5254891,886.70,688.30,3748.74
5254897,1587.31,1486.62,4810.64
5254901,4810.64,97.75,97.75
